update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1700,3481600,1729.197304525237,1583,0.9399999976158142,0.03001189762428982,0.8382812738418579,0.9732812643051147,42.666666666666664,21.34179519680156,19.0,115.0,1.4431731849908829,0.7441717460751534,0.003005896673130337,0.0032282395113725215,0.05308977968188754,0.9399999976158142,0.03001189762428982,0.8382812738418579,0.9732812643051147
1800,3686400,1804.4606421870146,1698,0.9461488980872959,0.028379310941043,0.8410937786102295,0.9803125262260437,38.294117647058826,20.18084329224523,14.0,113.0,1.4426175951957703,0.7574220076203346,0.0009875877585727721,0.0025268588797189295,0.041798641810882387,0.9461488980872959,0.028379310941043,0.8410937786102295,0.9803125262260437
1900,3891200,1933.078646294548,1815,0.9453352256254717,0.01918441832862003,0.89453125,0.9760937690734863,38.872727272727275,13.64225327356758,17.0,75.0,1.4273243695497513,0.7768328711390495,-0.0028783791785826907,0.0019284189183963463,0.033807156374215885,0.9453352256254717,0.01918441832862003,0.89453125,0.9760937690734863
2000,4096000,1785.4523790866438,1933,0.9464620532734054,0.01824616925828267,0.89453125,0.9760937690734863,38.07142857142857,12.975054559281304,17.0,75.0,1.458012342453003,0.7782377377152443,-0.005189813760807738,0.001694910111837089,0.03332254223583417,0.9464620532734054,0.01824616925828267,0.89453125,0.9760937690734863
2100,4300800,1856.710685959313,2051,0.9496763412441526,0.01602867979137562,0.9001562595367432,0.9775000214576721,35.785714285714285,11.39817386018211,16.0,71.0,1.3945289999246597,0.7830959856510162,-0.004556321950076381,0.001976102008484304,0.0306405142500688,0.9496763412441526,0.01602867979137562,0.9001562595367432,0.9775000214576721
2200,4505600,1580.82126995572,2167,0.9386213223139445,0.023851567688154624,0.852343738079071,0.9760937690734863,43.64705882352941,16.961112996928563,17.0,105.0,1.4952436834573746,0.7556777223944664,0.0035609798942459747,0.0023655726108700037,0.03466462201614295,0.9386213223139445,0.023851567688154624,0.852343738079071,0.9760937690734863
2300,4710400,1659.2305770515654,2284,0.9493996689194127,0.017637953874250982,0.9100000262260437,0.9775000214576721,35.98245614035088,12.542546858061677,16.0,64.0,1.4035402834415436,0.7823157981038094,-0.009283233957830817,0.0016542275552637875,0.027177750838986527,0.9493996689194127,0.017637953874250982,0.9100000262260437,0.9775000214576721
2400,4915200,1960.3505452965378,2401,0.9489062486910352,0.011875963277187183,0.9184374809265137,0.9704687595367432,36.333333333333336,8.445132410916273,21.0,58.0,1.432298630475998,0.7784616276621819,0.0010224559714515635,0.0014566119643859565,0.025478533587704293,0.9489062486910352,0.011875963277187183,0.9184374809265137,0.9704687595367432
2500,5120000,1792.998068389934,2520,0.9500781220418436,0.015296746971131382,0.9100000262260437,0.9775000214576721,35.5,10.87768698180243,16.0,64.0,1.4169825613498688,0.7925357297062874,0.0019550071374396794,0.0013702979049412534,0.024783216498357914,0.9500781220418436,0.015296746971131382,0.9100000262260437,0.9775000214576721
2600,5324800,1575.454884791004,2636,0.9422851552565893,0.016989257096005145,0.9057812690734863,0.9746875166893005,41.041666666666664,12.081249820371326,18.0,67.0,1.4681438952684402,0.7588957026600838,0.0004653807663999032,0.0018708145507844165,0.027151980552343503,0.9422851552565893,0.016989257096005145,0.9057812690734863,0.9746875166893005
2700,5529600,1685.6242807097965,2754,0.9449970519767618,0.01614424373047023,0.8917187452316284,0.9732812643051147,39.113207547169814,11.48035299134921,19.0,77.0,1.4743440002202988,0.7835655584931374,0.00794185750419274,0.0015071746456669644,0.02365449810871797,0.9449970519767618,0.01614424373047023,0.8917187452316284,0.9732812643051147
2800,5734400,1518.4469001792984,2871,0.9445612969306799,0.01641889207396014,0.9029687643051147,0.9760937690734863,39.42307692307692,11.675658693074228,17.0,69.0,1.50145922601223,0.7746121138334274,0.006113496812758967,0.0015376764349639416,0.021072535770992634,0.9445612969306799,0.01641889207396014,0.9029687643051147,0.9760937690734863
2900,5939200,1867.9683378043137,2990,0.9519968184374147,0.013108848798712307,0.9085937738418579,0.9760937690734863,34.13559322033898,9.321848996625414,17.0,65.0,1.4103844612836838,0.7935428768396378,-0.009392477571964264,0.0012370030308375135,0.01795036469191311,0.9519968184374147,0.013108848798712307,0.9085937738418579,0.9760937690734863
3000,6144000,2128.474771930581,3109,0.9470898391945022,0.02053999113343678,0.8846874833106995,0.9803125262260437,37.625,14.606215042136784,14.0,82.0,1.458988979458809,0.7669213861227036,0.00033330998849123716,0.0019244998547947034,0.024120708898254982,0.9470898391945022,0.02053999113343678,0.8846874833106995,0.9803125262260437
3100,6348800,2032.9396938875973,3226,0.9530635222059781,0.015944841562656124,0.9184374809265137,0.9775000214576721,33.377049180327866,11.338551580709106,16.0,58.0,1.413734957575798,0.7853437215089798,-0.00942114763893187,0.0018467050831532106,0.023861239398651066,0.9530635222059781,0.015944841562656124,0.9184374809265137,0.9775000214576721
